idx,year,population,zip_code,lat,lon
0,2011,16585,99501,61.216699936,-149.887149451
1,2011,24061,99502,61.147456793,-150.017930994
2,2011,13604,99503,61.188158621,-149.88892875
3,2011,39662,99504,61.203789014,-149.738414768
4,2011,6859,99505,61.2691163,-149.6392966
5,2011,6655,99506,61.246102688,-149.799659762
6,2011,38769,99507,61.153952257,-149.824124843
7,2011,36048,99508,61.195030203,-149.820510407
8,2011,339,99510,70.101885,-149.86736
9,2011,0,99513,61.2150192,-149.8846222
10,2011,22033,99515,61.125514184,-149.884246833
11,2011,20125,99516,61.093320386,-149.786230121
12,2011,15635,99517,61.181893837,-149.917245163
13,2011,10654,99518,61.160728479,-149.8795102
14,2011,432,99519,69.216237,-146.787467
15,2011,224,99540,60.979559,-149.4771419
16,2011,124,99546,51.8680049,-176.640263
17,2011,60,99547,52.20335,-174.200129
18,2011,83,99548,56.253889,-158.759314
19,2011,75,99549,56.923918,-158.6207499
20,2011,251,99550,57.8654,-152.882373
21,2011,644,99551,60.9097355,-161.4360978
22,2011,331,99552,60.91029,-161.223194
23,2011,946,99553,54.1333426,-165.7751048
24,2011,533,99554,62.686481,-164.663686
25,2011,254,99555,59.264016,-158.62444
26,2011,2671,99556,59.7753125,-151.7293557
27,2011,721,99557,61.261349875,-155.04415125
28,2011,102,99558,62.647966,-160.20171
29,2011,7571,99559,60.7994306,-161.880423367
30,2011,451,99561,60.15122,-164.251364
31,2011,943,99563,61.528133,-165.58826
32,2011,142,99564,56.293063,-158.404856
33,2011,77,99565,56.308844,-158.534916
34,2011,218,99566,61.508079188,-144.0523608
35,2011,8610,99567,61.419758112,-149.432086076
36,2011,118,99568,60.225717,-151.398607
37,2011,63,99569,58.813633,-158.560667
38,2011,55,99571,55.22099275,-162.72403825
39,2011,531,99572,60.507294325,-150.137730508
40,2011,788,99573,61.89971504,-145.1930184
41,2011,2475,99574,60.54174002,-145.730677972
42,2011,148,99575,61.863735,-158.137345
43,2011,2535,99576,59.029565933,-158.523278533
44,2011,26143,99577,61.314408197,-149.549971675
45,2011,204,99578,60.217841,-162.028428
46,2011,25,99579,58.210803,-157.375135
47,2011,161,99580,59.3496662,-157.4764907
48,2011,823,99581,62.776820925,-164.52530285
49,2011,15,99583,54.854405,-163.416393
50,2011,362,99585,61.878744,-162.085849
51,2011,682,99586,62.303594967,-145.287950933
52,2011,1726,99587,60.960055639,-149.128916206
53,2011,1033,99588,61.868795523,-145.303510831
54,2011,372,99589,59.118218,-161.5889
55,2011,215,99590,62.905281,-160.066002
56,2011,118,99591,56.601273,-169.546544
57,2011,202,99602,62.187016,-159.856068
58,2011,9378,99603,59.66593717,-151.468001189
59,2011,1270,99604,61.526755,-166.107675
60,2011,141,99605,60.9165581,-149.624282
61,2011,371,99606,59.7372676,-154.884072
62,2011,231,99607,61.757492,-159.783535
63,2011,555,99609,60.873839,-162.51692
64,2011,2075,99610,60.351092367,-151.2799939
65,2011,15455,99611,60.55607394,-151.233940165
66,2011,844,99612,55.058092329,-162.313700655
