idx,year,population,zip_code,lat,lon
292,2012,16693,99501,61.216699936,-149.887149451
293,2012,24122,99502,61.147456793,-150.017930994
294,2012,14242,99503,61.188158621,-149.88892875
295,2012,40786,99504,61.203789014,-149.738414768
296,2012,6327,99505,61.2691163,-149.6392966
297,2012,7213,99506,61.246102688,-149.799659762
298,2012,39010,99507,61.153952257,-149.824124843
299,2012,35835,99508,61.195030203,-149.820510407
300,2012,257,99510,70.101885,-149.86736
301,2012,0,99513,61.2150192,-149.8846222
302,2012,22097,99515,61.125514184,-149.884246833
303,2012,20818,99516,61.093320386,-149.786230121
304,2012,15527,99517,61.181893837,-149.917245163
305,2012,10804,99518,61.160728479,-149.8795102
306,2012,745,99519,69.216237,-146.787467
307,2012,324,99540,60.979559,-149.4771419
308,2012,127,99546,51.8680049,-176.640263
309,2012,87,99547,52.20335,-174.200129
310,2012,66,99548,56.253889,-158.759314
311,2012,70,99549,56.923918,-158.6207499
312,2012,259,99550,57.8654,-152.882373
313,2012,638,99551,60.9097355,-161.4360978
314,2012,364,99552,60.91029,-161.223194
315,2012,932,99553,54.1333426,-165.7751048
316,2012,570,99554,62.686481,-164.663686
317,2012,208,99555,59.264016,-158.62444
318,2012,2694,99556,59.7753125,-151.7293557
319,2012,701,99557,61.261349875,-155.04415125
320,2012,94,99558,62.647966,-160.20171
321,2012,7693,99559,60.7994306,-161.880423367
322,2012,489,99561,60.15122,-164.251364
323,2012,953,99563,61.528133,-165.58826
324,2012,116,99564,56.293063,-158.404856
325,2012,76,99565,56.308844,-158.534916
326,2012,248,99566,61.508079188,-144.0523608
327,2012,9256,99567,61.419758112,-149.432086076
328,2012,198,99568,60.225717,-151.398607
329,2012,72,99569,58.813633,-158.560667
330,2012,82,99571,55.22099275,-162.72403825
331,2012,315,99572,60.507294325,-150.137730508
332,2012,798,99573,61.89971504,-145.1930184
333,2012,2548,99574,60.54174002,-145.730677972
334,2012,152,99575,61.863735,-158.137345
335,2012,2471,99576,59.029565933,-158.523278533
336,2012,26446,99577,61.314408197,-149.549971675
337,2012,281,99578,60.217841,-162.028428
338,2012,47,99579,58.210803,-157.375135
339,2012,119,99580,59.3496662,-157.4764907
340,2012,847,99581,62.776820925,-164.52530285
341,2012,18,99583,54.854405,-163.416393
342,2012,365,99585,61.878744,-162.085849
343,2012,644,99586,62.303594967,-145.287950933
344,2012,1975,99587,60.960055639,-149.128916206
345,2012,980,99588,61.868795523,-145.303510831
