idx,year,population,zip_code,lat,lon
1001,2014,403,99682,61.08009,-151.136681
1002,2014,544,99683,62.315410133,-150.232025967
1003,2014,716,99684,63.877079,-160.792341
1004,2014,4321,99685,53.873766545,-166.526916927
1005,2014,4007,99686,61.127874045,-146.348090172
1006,2014,2645,99688,61.7380823,-150.0441674
1007,2014,587,99689,60.50594562,-143.7185025
1008,2014,281,99690,60.523716,-164.832582
1009,2014,75,99691,63.018642,-154.374007
1010,2014,215,99692,53.891739244,-166.540379256
1011,2014,252,99693,60.776188729,-148.685701753
1012,2014,1678,99694,61.603818,-149.760627
1013,2014,0,99695,55.918199,-159.493298
1014,2014,18575,99701,64.851828475,-147.782131617
1015,2014,2647,99702,64.67668125,-147.08321259
1016,2014,7764,99703,64.82922085,-147.6862944
1017,2014,20,99704,64.3265569,-149.186501
1018,2014,24311,99705,64.774316806,-147.385800003
1019,2014,0,99706,64.010439,-144.678662
1020,2014,31658,99709,64.845456223,-147.833722543
1021,2014,12134,99712,64.959038754,-147.652320133
1022,2014,1084,99714,64.506852692,-146.981695042
1023,2014,145,99720,66.556494,-152.673298
1024,2014,233,99721,68.1413944,-151.7359789
1025,2014,118,99722,68.091944,-145.604061
1026,2014,4321,99723,70.994752305,-156.773147816
1027,2014,86,99724,66.359887,-147.404091
1028,2014,32,99726,66.926196,-151.506653
1029,2014,582,99727,65.976729,-161.1268059
1030,2014,197,99729,63.390780275,-148.909372012
1031,2014,110,99730,65.649804,-145.587971
1032,2014,0,99732,64.0691952,-141.9403023
1033,2014,103,99733,65.824795,-144.063971
1034,2014,1566,99734,70.2140336,-148.4193829
1035,2014,128,99736,66.0759829,-162.724115
1036,2014,5037,99737,64.012363065,-145.65206851
1037,2014,85,99738,64.636865,-141.249598
1038,2014,319,99739,64.617471,-162.255381
1039,2014,522,99740,66.5656039,-145.251084
1040,2014,539,99741,64.7462003,-156.8788758
1041,2014,702,99742,63.777201,-171.72571
1042,2014,1159,99743,63.873561425,-149.067865675
1043,2014,192,99744,64.346936,-149.189666
1044,2014,63,99745,66.044161,-154.255534
1045,2014,388,99746,65.701841,-156.38798
1046,2014,176,99747,70.1264348,-143.6117578
1047,2014,200,99748,64.327077,-158.728778
1048,2014,371,99749,66.973102,-160.435057
1049,2014,532,99750,67.727818,-164.539675
1050,2014,159,99751,66.907151,-156.874805
1051,2014,3428,99752,67.014700475,-161.72569895
1052,2014,265,99753,64.935024,-161.153163
1053,2014,89,99754,64.882096,-157.705532
1054,2014,429,99755,63.702752456,-148.866213178
1055,2014,80,99756,65.000255,-150.636608
1056,2014,23,99757,63.903291,-152.250165
1057,2014,252,99758,65.151781,-149.372384
1058,2014,246,99759,69.743712,-163.009654
1059,2014,851,99760,64.5628352,-149.094701417
1060,2014,452,99761,67.620987,-163.057973
1061,2014,4084,99762,65.2575929,-167.52815595
1062,2014,598,99763,66.833191,-161.044335
1063,2014,305,99764,62.981927,-141.904303
1064,2014,272,99765,64.728309,-158.109543
1065,2014,628,99766,68.348432,-166.732242
1066,2014,15,99767,65.5053,-150.1704389
1067,2014,208,99768,65.252842,-154.23329
1068,2014,872,99769,63.6961535,-170.473762
1069,2014,754,99770,66.598803,-160.009307
1070,2014,212,99771,64.363986,-161.205278
1071,2014,699,99772,66.25705,-166.064007
1072,2014,308,99773,66.888979,-157.144955
1073,2014,69,99774,66.023707,-149.080313
1074,2014,1179,99775,64.858760607,-147.832024609
1075,2014,154,99776,63.377774,-143.362346
1076,2014,248,99777,65.174467,-152.04096
1077,2014,227,99778,65.259552,-166.345853
1078,2014,1724,99780,63.278621,-143.0479201
1079,2014,171,99781,67.0088485,-146.3653941
1080,2014,482,99782,70.638448,-160.030835
1081,2014,165,99783,65.609169,-168.090348
1082,2014,148,99784,64.680871,-163.401724
1083,2014,439,99785,65.334003,-166.4893899
1084,2014,329,99786,67.0867899,-157.859619
1085,2014,85,99788,66.654593,-143.721566
1086,2014,371,99789,70.219948949,-151.000280826
1087,2014,20,99790,64.557419,-149.09376
1088,2014,219,99791,70.481593,-157.420517
1089,2014,29855,99801,58.351935152,-134.537944674
1090,2014,425,99820,57.5001298,-134.5783042
1091,2014,2328,99824,58.2764192,-134.3948977
1092,2014,109,99825,58.159987,-135.736378
1093,2014,529,99826,58.412011371,-135.732331557
1094,2014,2623,99827,59.2927777,-135.65406563
1095,2014,818,99829,58.11082185,-135.4454754
1096,2014,592,99830,56.974077,-133.939708
1097,2014,62,99832,57.959351,-136.227336
1098,2014,3212,99833,56.806453952,-132.958754941
1099,2014,8957,99835,57.062977563,-135.339565655
1100,2014,30,99836,56.248509,-134.649466
1101,2014,996,99840,59.460331538,-135.312428262
1102,2014,117,99841,57.781251,-135.220879
1103,2014,13694,99901,55.36214108,-131.677405005
1104,2014,29,99903,55.7397974,-132.2612247
1105,2014,141,99918,56.011569,-132.8195749
1106,2014,603,99919,55.682518,-132.526113
1107,2014,2123,99921,55.474787697,-133.145670359
1108,2014,356,99922,55.207657,-132.825035
1109,2014,12,99923,55.91842988,-130.0269802
1110,2014,728,99925,55.55401105,-133.07758615
1111,2014,1622,99926,55.1243164,-131.5756596
1112,2014,131,99927,56.239062,-133.457924
1113,2014,2354,99929,56.471961275,-132.383417775
1114,2014,452,99761,67.620987,-163.057973
1115,2014,4084,99762,65.2575929,-167.52815595
1116,2014,598,99763,66.833191,-161.044335
1117,2014,305,99764,62.981927,-141.904303
1118,2014,272,99765,64.728309,-158.109543
1119,2014,628,99766,68.348432,-166.732242
1120,2014,15,99767,65.5053,-150.1704389
1121,2014,208,99768,65.252842,-154.23329
1122,2014,872,99769,63.6961535,-170.473762
1123,2014,754,99770,66.598803,-160.009307
1124,2014,212,99771,64.363986,-161.205278
1125,2014,699,99772,66.25705,-166.064007
1126,2014,308,99773,66.888979,-157.144955
1127,2014,69,99774,66.023707,-149.080313
1128,2014,1179,99775,64.858760607,-147.832024609
1129,2014,154,99776,63.377774,-143.362346
1130,2014,248,99777,65.174467,-152.04096
1131,2014,227,99778,65.259552,-166.345853
1132,2014,1724,99780,63.278621,-143.0479201
1133,2014,171,99781,67.0088485,-146.3653941
1134,2014,482,99782,70.638448,-160.030835
1135,2014,165,99783,65.609169,-168.090348
1136,2014,148,99784,64.680871,-163.401724
1137,2014,439,99785,65.334003,-166.4893899
