idx,year,population,zip_code,lat,lon
1460,2016,17130,99501,61.216699936,-149.887149451
1461,2016,24253,99502,61.147456793,-150.017930994
1462,2016,14148,99503,61.188158621,-149.88892875
1463,2016,42908,99504,61.203789014,-149.738414768
1464,2016,6240,99505,61.2691163,-149.6392966
1465,2016,7094,99506,61.246102688,-149.799659762
1466,2016,39460,99507,61.153952257,-149.824124843
1467,2016,34649,99508,61.195030203,-149.820510407
1468,2016,362,99510,70.101885,-149.86736
1469,2016,0,99513,61.2150192,-149.8846222
1470,2016,23747,99515,61.125514184,-149.884246833
1471,2016,21775,99516,61.093320386,-149.786230121
1472,2016,17226,99517,61.181893837,-149.917245163
1473,2016,9872,99518,61.160728479,-149.8795102
1474,2016,542,99519,69.216237,-146.787467
1475,2016,286,99540,60.979559,-149.4771419
1476,2016,122,99546,51.8680049,-176.640263
1477,2016,51,99547,52.20335,-174.200129
1478,2016,71,99548,56.253889,-158.759314
1479,2016,73,99549,56.923918,-158.6207499
1480,2016,240,99550,57.8654,-152.882373
1481,2016,584,99551,60.9097355,-161.4360978
1482,2016,407,99552,60.91029,-161.223194
1483,2016,782,99553,54.1333426,-165.7751048
1484,2016,737,99554,62.686481,-164.663686
1485,2016,189,99555,59.264016,-158.62444
1486,2016,2595,99556,59.7753125,-151.7293557
1487,2016,693,99557,61.261349875,-155.04415125
1488,2016,86,99558,62.647966,-160.20171
1489,2016,7907,99559,60.7994306,-161.880423367
1490,2016,507,99561,60.15122,-164.251364
1491,2016,1194,99563,61.528133,-165.58826
1492,2016,40,99564,56.293063,-158.404856
1493,2016,59,99565,56.308844,-158.534916
1494,2016,104,99566,61.508079188,-144.0523608
1495,2016,9651,99567,61.419758112,-149.432086076
1496,2016,321,99568,60.225717,-151.398607
1497,2016,47,99569,58.813633,-158.560667
1498,2016,106,99571,55.22099275,-162.72403825
1499,2016,502,99572,60.507294325,-150.137730508
1500,2016,763,99573,61.89971504,-145.1930184
1501,2016,3099,99574,60.54174002,-145.730677972
1502,2016,65,99575,61.863735,-158.137345
1503,2016,2467,99576,59.029565933,-158.523278533
1504,2016,28317,99577,61.314408197,-149.549971675
1505,2016,472,99578,60.217841,-162.028428
1506,2016,80,99579,58.210803,-157.375135
1507,2016,79,99580,59.3496662,-157.4764907
1508,2016,808,99581,62.776820925,-164.52530285
1509,2016,64,99583,54.854405,-163.416393
1510,2016,343,99585,61.878744,-162.085849
1511,2016,309,99586,62.303594967,-145.287950933
1512,2016,2271,99587,60.960055639,-149.128916206
1513,2016,657,99588,61.868795523,-145.303510831
1514,2016,216,99589,59.118218,-161.5889
1515,2016,165,99590,62.905281,-160.066002
1516,2016,74,99591,56.601273,-169.546544
1517,2016,216,99602,62.187016,-159.856068
1518,2016,10389,99603,59.66593717,-151.468001189
1519,2016,1114,99604,61.526755,-166.107675
1520,2016,108,99605,60.9165581,-149.624282
1521,2016,374,99606,59.7372676,-154.884072
1522,2016,264,99607,61.757492,-159.783535
1523,2016,635,99609,60.873839,-162.51692
1524,2016,2010,99610,60.351092367,-151.2799939
1525,2016,16271,99611,60.55607394,-151.233940165
1526,2016,1080,99612,55.058092329,-162.313700655
1527,2016,400,99613,58.97148284,-156.71258454
1528,2016,682,99614,59.938589,-164.037219
1529,2016,13135,99615,57.765947475,-152.434438812
1530,2016,662,99620,63.033332,-163.551424
1531,2016,787,99621,60.810771,-161.43384
1532,2016,332,99622,59.873557,-163.152607
1533,2016,47,99624,57.533668,-153.988133
1534,2016,97,99625,59.109785,-156.8651329
1535,2016,280,99626,61.514722,-160.359731
1536,2016,383,99627,62.95452295,-155.59251195
1537,2016,787,99628,58.975333,-159.019924
1538,2016,191,99630,60.387896,-166.188097
1539,2016,354,99631,60.517016,-149.456413
1540,2016,838,99632,61.3601743,-150.0082657
1541,2016,544,99633,58.738207,-156.966176
1542,2016,404,99634,60.694934,-161.983066
1543,2016,566,99636,59.450614,-157.318583
1544,2016,503,99637,60.532722,-165.108508
1545,2016,30,99638,52.938955,-168.861719
1546,2016,983,99639,60.03796785,-151.651155975
1547,2016,191,99640,59.967872,-154.851893
1548,2016,642,99641,60.8969444,-162.4594444
1549,2016,302,99643,57.20696,-153.297949
1550,2016,194,99644,57.9231482,-152.5001318
1551,2016,28127,99645,61.615415638,-149.116616326
