idx,year,population,zip_code,lat,lon
2044,2018,17058,99501,61.216699936,-149.887149451
2045,2018,24671,99502,61.147456793,-150.017930994
2046,2018,13221,99503,61.188158621,-149.88892875
2047,2018,42504,99504,61.203789014,-149.738414768
2048,2018,6330,99505,61.2691163,-149.6392966
2049,2018,7029,99506,61.246102688,-149.799659762
2050,2018,38424,99507,61.153952257,-149.824124843
2051,2018,35605,99508,61.195030203,-149.820510407
2052,2018,949,99510,70.101885,-149.86736
2053,2018,0,99513,61.2150192,-149.8846222
2054,2018,23402,99515,61.125514184,-149.884246833
2055,2018,20965,99516,61.093320386,-149.786230121
2056,2018,16405,99517,61.181893837,-149.917245163
2057,2018,10450,99518,61.160728479,-149.8795102
2058,2018,469,99519,69.216237,-146.787467
2059,2018,284,99540,60.979559,-149.4771419
2060,2018,203,99546,51.8680049,-176.640263
2061,2018,35,99547,52.20335,-174.200129
2062,2018,51,99548,56.253889,-158.759314
2063,2018,78,99549,56.923918,-158.6207499
2064,2018,190,99550,57.8654,-152.882373
2065,2018,567,99551,60.9097355,-161.4360978
2066,2018,416,99552,60.91029,-161.223194
2067,2018,758,99553,54.1333426,-165.7751048
2068,2018,837,99554,62.686481,-164.663686
2069,2018,204,99555,59.264016,-158.62444
2070,2018,2640,99556,59.7753125,-151.7293557
2071,2018,698,99557,61.261349875,-155.04415125
2072,2018,104,99558,62.647966,-160.20171
2073,2018,7888,99559,60.7994306,-161.880423367
2074,2018,501,99561,60.15122,-164.251364
2075,2018,1144,99563,61.528133,-165.58826
2076,2018,61,99564,56.293063,-158.404856
2077,2018,75,99565,56.308844,-158.534916
2078,2018,98,99566,61.508079188,-144.0523608
2079,2018,9181,99567,61.419758112,-149.432086076
2080,2018,315,99568,60.225717,-151.398607
2081,2018,48,99569,58.813633,-158.560667
2082,2018,126,99571,55.22099275,-162.72403825
2083,2018,580,99572,60.507294325,-150.137730508
2084,2018,540,99573,61.89971504,-145.1930184
2085,2018,3111,99574,60.54174002,-145.730677972
2086,2018,90,99575,61.863735,-158.137345
2087,2018,2494,99576,59.029565933,-158.523278533
2088,2018,28308,99577,61.314408197,-149.549971675
2089,2018,518,99578,60.217841,-162.028428
2090,2018,83,99579,58.210803,-157.375135
2091,2018,80,99580,59.3496662,-157.4764907
2092,2018,761,99581,62.776820925,-164.52530285
2093,2018,78,99583,54.854405,-163.416393
2094,2018,299,99585,61.878744,-162.085849
2095,2018,302,99586,62.303594967,-145.287950933
2096,2018,2065,99587,60.960055639,-149.128916206
2097,2018,803,99588,61.868795523,-145.303510831
2098,2018,192,99589,59.118218,-161.5889
