idx,year,population,zip_code,lat,lon
1752,2017,17084,99501,61.216699936,-149.887149451
1753,2017,24505,99502,61.147456793,-150.017930994
1754,2017,13668,99503,61.188158621,-149.88892875
1755,2017,42161,99504,61.203789014,-149.738414768
1756,2017,6477,99505,61.2691163,-149.6392966
1757,2017,7255,99506,61.246102688,-149.799659762
1758,2017,38739,99507,61.153952257,-149.824124843
1759,2017,35564,99508,61.195030203,-149.820510407
1760,2017,689,99510,70.101885,-149.86736
1761,2017,0,99513,61.2150192,-149.8846222
1762,2017,24207,99515,61.125514184,-149.884246833
1763,2017,21544,99516,61.093320386,-149.786230121
1764,2017,17014,99517,61.181893837,-149.917245163
1765,2017,10077,99518,61.160728479,-149.8795102
1766,2017,508,99519,69.216237,-146.787467
1767,2017,289,99540,60.979559,-149.4771419
1768,2017,130,99546,51.8680049,-176.640263
1769,2017,51,99547,52.20335,-174.200129
1770,2017,57,99548,56.253889,-158.759314
1771,2017,60,99549,56.923918,-158.6207499
1772,2017,214,99550,57.8654,-152.882373
1773,2017,609,99551,60.9097355,-161.4360978
1774,2017,397,99552,60.91029,-161.223194
1775,2017,801,99553,54.1333426,-165.7751048
1776,2017,735,99554,62.686481,-164.663686
1777,2017,190,99555,59.264016,-158.62444
1778,2017,2615,99556,59.7753125,-151.7293557
1779,2017,668,99557,61.261349875,-155.04415125
1780,2017,91,99558,62.647966,-160.20171
1781,2017,7901,99559,60.7994306,-161.880423367
1782,2017,459,99561,60.15122,-164.251364
1783,2017,1271,99563,61.528133,-165.58826
1784,2017,35,99564,56.293063,-158.404856
1785,2017,63,99565,56.308844,-158.534916
1786,2017,92,99566,61.508079188,-144.0523608
1787,2017,9011,99567,61.419758112,-149.432086076
1788,2017,281,99568,60.225717,-151.398607
1789,2017,53,99569,58.813633,-158.560667
1790,2017,110,99571,55.22099275,-162.72403825
1791,2017,581,99572,60.507294325,-150.137730508
1792,2017,640,99573,61.89971504,-145.1930184
1793,2017,3218,99574,60.54174002,-145.730677972
1794,2017,90,99575,61.863735,-158.137345
1795,2017,2427,99576,59.029565933,-158.523278533
1796,2017,28210,99577,61.314408197,-149.549971675
1797,2017,497,99578,60.217841,-162.028428
1798,2017,69,99579,58.210803,-157.375135
1799,2017,88,99580,59.3496662,-157.4764907
1800,2017,763,99581,62.776820925,-164.52530285
1801,2017,68,99583,54.854405,-163.416393
1802,2017,337,99585,61.878744,-162.085849
1803,2017,188,99586,62.303594967,-145.287950933
1804,2017,2233,99587,60.960055639,-149.128916206
1805,2017,618,99588,61.868795523,-145.303510831
1806,2017,210,99589,59.118218,-161.5889
1807,2017,165,99590,62.905281,-160.066002
1808,2017,85,99591,56.601273,-169.546544
1809,2017,202,99602,62.187016,-159.856068
1810,2017,10332,99603,59.66593717,-151.468001189
1811,2017,1153,99604,61.526755,-166.107675
1812,2017,50,99605,60.9165581,-149.624282
1813,2017,328,99606,59.7372676,-154.884072
1814,2017,255,99607,61.757492,-159.783535
1815,2017,655,99609,60.873839,-162.51692
1816,2017,2055,99610,60.351092367,-151.2799939
1817,2017,16208,99611,60.55607394,-151.233940165
1818,2017,1003,99612,55.058092329,-162.313700655
1819,2017,414,99613,58.97148284,-156.71258454
1820,2017,659,99614,59.938589,-164.037219
1821,2017,13041,99615,57.765947475,-152.434438812
1822,2017,726,99620,63.033332,-163.551424
1823,2017,705,99621,60.810771,-161.43384
1824,2017,349,99622,59.873557,-163.152607
1825,2017,42,99624,57.533668,-153.988133
1826,2017,95,99625,59.109785,-156.8651329
1827,2017,322,99626,61.514722,-160.359731
1828,2017,360,99627,62.95452295,-155.59251195
1829,2017,818,99628,58.975333,-159.019924
1830,2017,217,99630,60.387896,-166.188097
1831,2017,282,99631,60.517016,-149.456413
1832,2017,820,99632,61.3601743,-150.0082657
1833,2017,509,99633,58.738207,-156.966176
1834,2017,389,99634,60.694934,-161.983066
1835,2017,566,99636,59.450614,-157.318583
1836,2017,527,99637,60.532722,-165.108508
1837,2017,25,99638,52.938955,-168.861719
1838,2017,992,99639,60.03796785,-151.651155975
