idx,year,population,zip_code,lat,lon
584,2013,16521,99501,61.216699936,-149.887149451
585,2013,24059,99502,61.147456793,-150.017930994
586,2013,14042,99503,61.188158621,-149.88892875
587,2013,40824,99504,61.203789014,-149.738414768
588,2013,6649,99505,61.2691163,-149.6392966
589,2013,7499,99506,61.246102688,-149.799659762
590,2013,39015,99507,61.153952257,-149.824124843
591,2013,36534,99508,61.195030203,-149.820510407
592,2013,289,99510,70.101885,-149.86736
593,2013,0,99513,61.2150192,-149.8846222
594,2013,22821,99515,61.125514184,-149.884246833
595,2013,20781,99516,61.093320386,-149.786230121
596,2013,16442,99517,61.181893837,-149.917245163
597,2013,10786,99518,61.160728479,-149.8795102
598,2013,868,99519,69.216237,-146.787467
599,2013,291,99540,60.979559,-149.4771419
600,2013,108,99546,51.8680049,-176.640263
601,2013,60,99547,52.20335,-174.200129
602,2013,60,99548,56.253889,-158.759314
603,2013,69,99549,56.923918,-158.6207499
604,2013,238,99550,57.8654,-152.882373
605,2013,606,99551,60.9097355,-161.4360978
606,2013,392,99552,60.91029,-161.223194
607,2013,951,99553,54.1333426,-165.7751048
608,2013,675,99554,62.686481,-164.663686
609,2013,208,99555,59.264016,-158.62444
610,2013,2742,99556,59.7753125,-151.7293557
611,2013,728,99557,61.261349875,-155.04415125
612,2013,99,99558,62.647966,-160.20171
613,2013,7769,99559,60.7994306,-161.880423367
614,2013,493,99561,60.15122,-164.251364
615,2013,1062,99563,61.528133,-165.58826
616,2013,101,99564,56.293063,-158.404856
617,2013,72,99565,56.308844,-158.534916
618,2013,194,99566,61.508079188,-144.0523608
619,2013,9544,99567,61.419758112,-149.432086076
620,2013,197,99568,60.225717,-151.398607
621,2013,84,99569,58.813633,-158.560667
622,2013,101,99571,55.22099275,-162.72403825
623,2013,227,99572,60.507294325,-150.137730508
624,2013,816,99573,61.89971504,-145.1930184
625,2013,2692,99574,60.54174002,-145.730677972
626,2013,120,99575,61.863735,-158.137345
627,2013,2400,99576,59.029565933,-158.523278533
628,2013,27158,99577,61.314408197,-149.549971675
629,2013,349,99578,60.217841,-162.028428
630,2013,55,99579,58.210803,-157.375135
631,2013,139,99580,59.3496662,-157.4764907
632,2013,858,99581,62.776820925,-164.52530285
633,2013,15,99583,54.854405,-163.416393
634,2013,344,99585,61.878744,-162.085849
635,2013,623,99586,62.303594967,-145.287950933
636,2013,2278,99587,60.960055639,-149.128916206
637,2013,854,99588,61.868795523,-145.303510831
638,2013,331,99589,59.118218,-161.5889
639,2013,171,99590,62.905281,-160.066002
640,2013,62,99591,56.601273,-169.546544
641,2013,221,99602,62.187016,-159.856068
642,2013,9628,99603,59.66593717,-151.468001189
643,2013,1222,99604,61.526755,-166.107675
644,2013,119,99605,60.9165581,-149.624282
645,2013,376,99606,59.7372676,-154.884072
646,2013,231,99607,61.757492,-159.783535
647,2013,532,99609,60.873839,-162.51692
648,2013,2399,99610,60.351092367,-151.2799939
649,2013,15779,99611,60.55607394,-151.233940165
650,2013,831,99612,55.058092329,-162.313700655
651,2013,310,99613,58.97148284,-156.71258454
652,2013,644,99614,59.938589,-164.037219
653,2013,13009,99615,57.765947475,-152.434438812
654,2013,572,99620,63.033332,-163.551424
655,2013,702,99621,60.810771,-161.43384
656,2013,317,99622,59.873557,-163.152607
657,2013,74,99624,57.533668,-153.988133
658,2013,123,99625,59.109785,-156.8651329
659,2013,297,99626,61.514722,-160.359731
660,2013,429,99627,62.95452295,-155.59251195
661,2013,588,99628,58.975333,-159.019924
662,2013,190,99630,60.387896,-166.188097
663,2013,464,99631,60.517016,-149.456413
664,2013,760,99632,61.3601743,-150.0082657
665,2013,600,99633,58.738207,-156.966176
666,2013,364,99634,60.694934,-161.983066
667,2013,563,99636,59.450614,-157.318583
668,2013,671,99637,60.532722,-165.108508
669,2013,39,99638,52.938955,-168.861719
670,2013,912,99639,60.03796785,-151.651155975
671,2013,192,99640,59.967872,-154.851893
672,2013,420,99641,60.8969444,-162.4594444
673,2013,229,99643,57.20696,-153.297949
674,2013,300,99644,57.9231482,-152.5001318
675,2013,26202,99645,61.615415638,-149.116616326
