zip_code,population
ZCTA5 99761,525
ZCTA5 99762,3854
ZCTA5 99763,648
ZCTA5 99764,395
ZCTA5 99765,276
ZCTA5 99766,1139
ZCTA5 99767,38
ZCTA5 99768,221
ZCTA5 99769,701
ZCTA5 99770,703
ZCTA5 99771,245
ZCTA5 99772,659
ZCTA5 99773,376
ZCTA5 99774,65
ZCTA5 99775,892
ZCTA5 99776,101
ZCTA5 99777,303
ZCTA5 99778,311
ZCTA5 99780,1717
ZCTA5 99781,138
ZCTA5 99782,764
ZCTA5 99783,118
ZCTA5 99784,159
ZCTA5 99785,326
ZCTA5 99786,260
ZCTA5 99788,50
ZCTA5 99789,564
ZCTA5 99790,62
ZCTA5 99791,325
ZCTA5 99801,29056
ZCTA5 99820,427
ZCTA5 99824,2188
ZCTA5 99825,64
ZCTA5 99826,454
ZCTA5 99827,2632
ZCTA5 99829,774
ZCTA5 99830,470
ZCTA5 99832,113
ZCTA5 99833,3278
ZCTA5 99835,8879
ZCTA5 99836,83
ZCTA5 99840,1105
ZCTA5 99841,77
ZCTA5 99901,13458
ZCTA5 99903,32
ZCTA5 99918,75
ZCTA5 99919,534
ZCTA5 99921,2100
ZCTA5 99922,431
ZCTA5 99923,116
ZCTA5 99925,689
ZCTA5 99926,1488
ZCTA5 99927,67
ZCTA5 99929,2321
