zip_code,population
ZCTA5 99761,442
ZCTA5 99762,4008
ZCTA5 99763,692
ZCTA5 99764,271
ZCTA5 99765,278
ZCTA5 99766,718
ZCTA5 99767,20
ZCTA5 99768,209
ZCTA5 99769,828
ZCTA5 99770,693
ZCTA5 99771,209
ZCTA5 99772,623
ZCTA5 99773,361
ZCTA5 99774,66
ZCTA5 99775,1146
ZCTA5 99776,116
ZCTA5 99777,261
ZCTA5 99778,267
ZCTA5 99780,1783
ZCTA5 99781,168
ZCTA5 99782,540
ZCTA5 99783,118
ZCTA5 99784,166
ZCTA5 99785,407
ZCTA5 99786,290
ZCTA5 99788,65
ZCTA5 99789,405
ZCTA5 99790,43
ZCTA5 99791,276
ZCTA5 99801,29639
ZCTA5 99820,457
ZCTA5 99824,2242
ZCTA5 99825,91
ZCTA5 99826,538
ZCTA5 99827,2656
ZCTA5 99829,775
ZCTA5 99830,487
ZCTA5 99832,64
ZCTA5 99833,3277
ZCTA5 99835,8945
ZCTA5 99836,42
ZCTA5 99840,1080
ZCTA5 99841,106
ZCTA5 99901,13651
ZCTA5 99903,30
ZCTA5 99918,130
ZCTA5 99919,528
ZCTA5 99921,2104
ZCTA5 99922,364
ZCTA5 99923,81
ZCTA5 99925,668
ZCTA5 99926,1630
ZCTA5 99927,111
ZCTA5 99929,2341
