zip_code,population
ZCTA5 99761,465
ZCTA5 99762,3980
ZCTA5 99763,708
ZCTA5 99764,322
ZCTA5 99765,289
ZCTA5 99766,894
ZCTA5 99767,20
ZCTA5 99768,224
ZCTA5 99769,726
ZCTA5 99770,688
ZCTA5 99771,233
ZCTA5 99772,633
ZCTA5 99773,368
ZCTA5 99774,61
ZCTA5 99775,1008
ZCTA5 99776,132
ZCTA5 99777,252
ZCTA5 99778,274
ZCTA5 99780,1569
ZCTA5 99781,160
ZCTA5 99782,645
ZCTA5 99783,108
ZCTA5 99784,164
ZCTA5 99785,337
ZCTA5 99786,240
ZCTA5 99788,59
ZCTA5 99789,487
ZCTA5 99790,58
ZCTA5 99791,290
ZCTA5 99801,29356
ZCTA5 99820,427
ZCTA5 99824,2263
ZCTA5 99825,67
ZCTA5 99826,511
ZCTA5 99827,2629
ZCTA5 99829,760
ZCTA5 99830,413
ZCTA5 99832,110
ZCTA5 99833,3380
ZCTA5 99835,8909
ZCTA5 99836,29
ZCTA5 99840,1050
ZCTA5 99841,138
ZCTA5 99901,13577
ZCTA5 99903,7
ZCTA5 99918,102
ZCTA5 99919,558
ZCTA5 99921,2031
ZCTA5 99922,411
ZCTA5 99923,77
ZCTA5 99925,673
ZCTA5 99926,1624
ZCTA5 99927,75
ZCTA5 99929,2361
