zip_code,population
ZCTA5 99784,168
ZCTA5 99785,417
ZCTA5 99786,295
ZCTA5 99788,120
ZCTA5 99789,347
ZCTA5 99790,7
ZCTA5 99791,167
ZCTA5 99801,30205
ZCTA5 99820,459
ZCTA5 99824,2299
ZCTA5 99825,70
ZCTA5 99826,472
ZCTA5 99827,2592
ZCTA5 99829,774
ZCTA5 99830,644
ZCTA5 99832,96
ZCTA5 99833,3196
ZCTA5 99835,8921
ZCTA5 99836,42
ZCTA5 99840,1014
ZCTA5 99841,172
ZCTA5 99901,13745
ZCTA5 99903,16
ZCTA5 99918,193
ZCTA5 99919,718
ZCTA5 99921,1800
ZCTA5 99922,291
ZCTA5 99923,0
ZCTA5 99925,908
ZCTA5 99926,1667
ZCTA5 99927,81
ZCTA5 99929,2385
