zip_code,population
ZCTA5 99501,17084
ZCTA5 99502,24505
ZCTA5 99503,13668
ZCTA5 99504,42161
ZCTA5 99505,6477
ZCTA5 99506,7255
ZCTA5 99507,38739
ZCTA5 99508,35564
ZCTA5 99510,689
ZCTA5 99513,0
ZCTA5 99515,24207
ZCTA5 99516,21544
ZCTA5 99517,17014
ZCTA5 99518,10077
ZCTA5 99519,508
ZCTA5 99540,289
ZCTA5 99546,130
ZCTA5 99547,51
ZCTA5 99548,57
ZCTA5 99549,60
ZCTA5 99550,214
ZCTA5 99551,609
ZCTA5 99552,397
ZCTA5 99553,801
ZCTA5 99554,735
ZCTA5 99555,190
ZCTA5 99556,2615
ZCTA5 99557,668
ZCTA5 99558,91
ZCTA5 99559,7901
ZCTA5 99561,459
ZCTA5 99563,1271
ZCTA5 99564,35
ZCTA5 99565,63
ZCTA5 99566,92
ZCTA5 99567,9011
ZCTA5 99568,281
ZCTA5 99569,53
ZCTA5 99571,110
ZCTA5 99572,581
ZCTA5 99573,640
ZCTA5 99574,3218
ZCTA5 99575,90
ZCTA5 99576,2427
ZCTA5 99577,28210
ZCTA5 99578,497
ZCTA5 99579,69
ZCTA5 99580,88
ZCTA5 99581,763
ZCTA5 99583,68
ZCTA5 99585,337
ZCTA5 99586,188
ZCTA5 99587,2233
ZCTA5 99588,618
ZCTA5 99589,210
ZCTA5 99590,165
ZCTA5 99591,85
ZCTA5 99602,202
ZCTA5 99603,10332
ZCTA5 99604,1153
ZCTA5 99605,50
ZCTA5 99606,328
ZCTA5 99607,255
ZCTA5 99609,655
ZCTA5 99610,2055
ZCTA5 99611,16208
ZCTA5 99612,1003
ZCTA5 99613,414
ZCTA5 99614,659
ZCTA5 99615,13041
ZCTA5 99620,726
ZCTA5 99621,705
ZCTA5 99622,349
ZCTA5 99624,42
ZCTA5 99625,95
ZCTA5 99626,322
ZCTA5 99627,360
ZCTA5 99628,818
ZCTA5 99630,217
ZCTA5 99631,282
ZCTA5 99632,820
ZCTA5 99633,509
ZCTA5 99634,389
ZCTA5 99636,566
ZCTA5 99637,527
ZCTA5 99638,25
ZCTA5 99639,992
ZCTA5 99640,154
ZCTA5 99641,726
ZCTA5 99643,290
ZCTA5 99644,186
ZCTA5 99645,29293
ZCTA5 99647,18
ZCTA5 99648,98
ZCTA5 99649,69
ZCTA5 99650,636
ZCTA5 99651,15
ZCTA5 99652,3494
ZCTA5 99653,157
ZCTA5 99654,60641
ZCTA5 99655,763
ZCTA5 99656,21
ZCTA5 99657,348
ZCTA5 99658,663
ZCTA5 99659,441
ZCTA5 99660,480
ZCTA5 99661,1356
ZCTA5 99662,543
ZCTA5 99663,436
ZCTA5 99664,4735
ZCTA5 99665,63
ZCTA5 99666,134
ZCTA5 99667,108
ZCTA5 99668,85
ZCTA5 99669,15516
ZCTA5 99670,47
ZCTA5 99671,500
ZCTA5 99672,3400
ZCTA5 99674,1452
ZCTA5 99676,1412
ZCTA5 99677,121
ZCTA5 99678,832
ZCTA5 99679,434
ZCTA5 99680,477
ZCTA5 99681,301
ZCTA5 99682,478
ZCTA5 99683,453
ZCTA5 99684,695
ZCTA5 99685,4563
ZCTA5 99686,3925
ZCTA5 99688,2614
ZCTA5 99689,653
ZCTA5 99690,212
ZCTA5 99691,123
ZCTA5 99692,246
ZCTA5 99693,448
ZCTA5 99694,1633
ZCTA5 99695,0
ZCTA5 99701,17608
ZCTA5 99702,3025
ZCTA5 99703,8415
ZCTA5 99704,30
ZCTA5 99705,22804
ZCTA5 99706,4
ZCTA5 99709,31767
ZCTA5 99712,13918
ZCTA5 99714,1201
ZCTA5 99720,186
ZCTA5 99721,290
ZCTA5 99722,167
ZCTA5 99723,4444
ZCTA5 99724,54
ZCTA5 99726,83
ZCTA5 99727,627
ZCTA5 99729,220
ZCTA5 99730,52
ZCTA5 99732,12
ZCTA5 99733,108
ZCTA5 99734,1624
ZCTA5 99736,152
ZCTA5 99737,4913
ZCTA5 99738,99
ZCTA5 99739,296
ZCTA5 99740,560
ZCTA5 99741,473
ZCTA5 99742,693
ZCTA5 99743,1106
ZCTA5 99744,113
ZCTA5 99745,77
ZCTA5 99746,404
ZCTA5 99747,181
ZCTA5 99748,165
ZCTA5 99749,329
ZCTA5 99750,678
ZCTA5 99751,152
ZCTA5 99752,3355
ZCTA5 99753,248
ZCTA5 99754,54
ZCTA5 99755,834
