zip_code,population
ZCTA5 99501,17058
ZCTA5 99502,24671
ZCTA5 99503,13221
ZCTA5 99504,42504
ZCTA5 99505,6330
ZCTA5 99506,7029
ZCTA5 99507,38424
ZCTA5 99508,35605
ZCTA5 99510,949
ZCTA5 99513,0
ZCTA5 99515,23402
ZCTA5 99516,20965
ZCTA5 99517,16405
ZCTA5 99518,10450
ZCTA5 99519,469
ZCTA5 99540,284
ZCTA5 99546,203
ZCTA5 99547,35
ZCTA5 99548,51
ZCTA5 99549,78
ZCTA5 99550,190
ZCTA5 99551,567
ZCTA5 99552,416
ZCTA5 99553,758
ZCTA5 99554,837
ZCTA5 99555,204
ZCTA5 99556,2640
ZCTA5 99557,698
ZCTA5 99558,104
ZCTA5 99559,7888
ZCTA5 99561,501
ZCTA5 99563,1144
ZCTA5 99564,61
ZCTA5 99565,75
ZCTA5 99566,98
ZCTA5 99567,9181
ZCTA5 99568,315
ZCTA5 99569,48
ZCTA5 99571,126
ZCTA5 99572,580
ZCTA5 99573,540
ZCTA5 99574,3111
ZCTA5 99575,90
ZCTA5 99576,2494
ZCTA5 99577,28308
ZCTA5 99578,518
ZCTA5 99579,83
ZCTA5 99580,80
ZCTA5 99581,761
ZCTA5 99583,78
ZCTA5 99585,299
ZCTA5 99586,302
ZCTA5 99587,2065
ZCTA5 99588,803
ZCTA5 99589,192
ZCTA5 99590,176
ZCTA5 99591,78
ZCTA5 99602,183
ZCTA5 99603,10509
ZCTA5 99604,1101
ZCTA5 99605,95
ZCTA5 99606,334
ZCTA5 99607,222
ZCTA5 99609,574
ZCTA5 99610,1899
ZCTA5 99611,15657
ZCTA5 99612,1074
ZCTA5 99613,455
ZCTA5 99614,613
ZCTA5 99615,12971
ZCTA5 99620,811
ZCTA5 99621,653
ZCTA5 99622,379
ZCTA5 99624,52
ZCTA5 99625,76
ZCTA5 99626,283
ZCTA5 99627,308
ZCTA5 99628,824
ZCTA5 99630,226
ZCTA5 99631,357
ZCTA5 99632,828
ZCTA5 99633,464
ZCTA5 99634,392
ZCTA5 99636,557
ZCTA5 99637,527
ZCTA5 99638,26
ZCTA5 99639,1036
ZCTA5 99640,151
ZCTA5 99641,869
ZCTA5 99643,249
ZCTA5 99644,187
ZCTA5 99645,30450
ZCTA5 99647,20
ZCTA5 99648,86
ZCTA5 99649,91
ZCTA5 99650,576
ZCTA5 99651,13
ZCTA5 99652,3183
ZCTA5 99653,151
ZCTA5 99654,62135
ZCTA5 99655,796
ZCTA5 99656,21
ZCTA5 99657,318
ZCTA5 99658,762
ZCTA5 99659,468
ZCTA5 99660,425
ZCTA5 99661,1389
ZCTA5 99662,594
ZCTA5 99663,390
ZCTA5 99664,4575
ZCTA5 99665,75
ZCTA5 99666,167
ZCTA5 99667,86
ZCTA5 99668,83
ZCTA5 99669,16249
ZCTA5 99670,41
ZCTA5 99671,473
ZCTA5 99672,3435
ZCTA5 99674,1444
ZCTA5 99676,1353
ZCTA5 99677,78
ZCTA5 99678,768
ZCTA5 99679,415
ZCTA5 99680,566
ZCTA5 99681,339
ZCTA5 99682,483
ZCTA5 99683,447
ZCTA5 99684,702
ZCTA5 99685,4566
ZCTA5 99686,3870
ZCTA5 99688,2624
ZCTA5 99689,665
ZCTA5 99690,189
ZCTA5 99691,114
ZCTA5 99692,215
ZCTA5 99693,313
ZCTA5 99694,1705
ZCTA5 99695,0
ZCTA5 99701,17510
ZCTA5 99702,3006
ZCTA5 99703,8859
ZCTA5 99704,39
ZCTA5 99705,22944
ZCTA5 99706,4
ZCTA5 99709,30428
ZCTA5 99712,14489
ZCTA5 99714,1204
ZCTA5 99720,174
ZCTA5 99721,265
ZCTA5 99722,153
ZCTA5 99723,4452
ZCTA5 99724,46
ZCTA5 99726,77
ZCTA5 99727,608
ZCTA5 99729,202
ZCTA5 99730,49
ZCTA5 99732,13
ZCTA5 99733,74
ZCTA5 99734,1458
ZCTA5 99736,154
ZCTA5 99737,4821
ZCTA5 99738,103
ZCTA5 99739,303
ZCTA5 99740,533
ZCTA5 99741,510
ZCTA5 99742,601
ZCTA5 99743,1041
ZCTA5 99744,98
ZCTA5 99745,90
ZCTA5 99746,404
ZCTA5 99747,178
ZCTA5 99748,172
ZCTA5 99749,299
ZCTA5 99750,688
ZCTA5 99751,143
ZCTA5 99752,3370
ZCTA5 99753,271
ZCTA5 99754,62
ZCTA5 99755,856
ZCTA5 99756,83
ZCTA5 99757,14
ZCTA5 99758,229
ZCTA5 99759,251
ZCTA5 99760,605
ZCTA5 99761,422
ZCTA5 99762,4307
ZCTA5 99763,597
ZCTA5 99764,439
ZCTA5 99765,257
ZCTA5 99766,625
ZCTA5 99767,60
ZCTA5 99768,207
ZCTA5 99769,921
ZCTA5 99770,839
ZCTA5 99771,294
ZCTA5 99772,597
ZCTA5 99773,288
ZCTA5 99774,11
ZCTA5 99775,1358
ZCTA5 99776,141
ZCTA5 99777,242
ZCTA5 99778,225
ZCTA5 99780,1559
ZCTA5 99781,141
ZCTA5 99782,508
ZCTA5 99783,170
ZCTA5 99784,186
ZCTA5 99785,407
ZCTA5 99786,299
ZCTA5 99788,115
ZCTA5 99789,469
ZCTA5 99790,10
ZCTA5 99791,164
ZCTA5 99801,30106
ZCTA5 99820,527
ZCTA5 99824,2224
ZCTA5 99825,63
ZCTA5 99826,416
ZCTA5 99827,2565
ZCTA5 99829,800
ZCTA5 99830,595
ZCTA5 99832,124
ZCTA5 99833,3255
ZCTA5 99835,8738
ZCTA5 99836,97
ZCTA5 99840,1061
ZCTA5 99841,155
ZCTA5 99901,13818
ZCTA5 99903,0
ZCTA5 99918,148
ZCTA5 99919,689
ZCTA5 99921,1986
ZCTA5 99922,330
ZCTA5 99923,15
ZCTA5 99925,927
ZCTA5 99926,1635
ZCTA5 99927,38
ZCTA5 99929,2484
ZCTA5 99761,422
ZCTA5 99762,4307
ZCTA5 99763,597
ZCTA5 99764,439
ZCTA5 99765,257
ZCTA5 99766,625
ZCTA5 99767,60
ZCTA5 99768,207
ZCTA5 99769,921
ZCTA5 99770,839
ZCTA5 99771,294
ZCTA5 99772,597
ZCTA5 99773,288
ZCTA5 99774,11
ZCTA5 99775,1358
ZCTA5 99776,141
ZCTA5 99777,242
ZCTA5 99778,225
ZCTA5 99780,1559
ZCTA5 99781,141
ZCTA5 99782,508
ZCTA5 99783,170
ZCTA5 99784,186
ZCTA5 99785,407
ZCTA5 99786,299
ZCTA5 99788,115
ZCTA5 99789,469
ZCTA5 99790,10
ZCTA5 99791,164
ZCTA5 99801,30106
ZCTA5 99820,527
ZCTA5 99824,2224
ZCTA5 99825,63
ZCTA5 99826,416
ZCTA5 99827,2565
ZCTA5 99829,800
ZCTA5 99830,595
ZCTA5 99832,124
ZCTA5 99833,3255
ZCTA5 99835,8738
ZCTA5 99836,97
ZCTA5 99840,1061
ZCTA5 99841,155
ZCTA5 99901,13818
ZCTA5 99903,0
ZCTA5 99918,148
ZCTA5 99919,689
ZCTA5 99921,1986
ZCTA5 99922,330
ZCTA5 99923,15
ZCTA5 99925,927
ZCTA5 99926,1635
ZCTA5 99927,38
ZCTA5 99929,2484
