zip_code,population
ZCTA5 99501,16585
ZCTA5 99502,24061
ZCTA5 99503,13604
ZCTA5 99504,39662
ZCTA5 99505,6859
ZCTA5 99506,6655
ZCTA5 99507,38769
ZCTA5 99508,36048
ZCTA5 99510,339
ZCTA5 99513,0
ZCTA5 99515,22033
ZCTA5 99516,20125
ZCTA5 99517,15635
ZCTA5 99518,10654
ZCTA5 99519,432
ZCTA5 99540,224
ZCTA5 99546,124
ZCTA5 99547,60
ZCTA5 99548,83
ZCTA5 99549,75
ZCTA5 99550,251
ZCTA5 99551,644
ZCTA5 99552,331
ZCTA5 99553,946
ZCTA5 99554,533
ZCTA5 99555,254
ZCTA5 99556,2671
ZCTA5 99557,721
ZCTA5 99558,102
ZCTA5 99559,7571
ZCTA5 99561,451
ZCTA5 99563,943
ZCTA5 99564,142
ZCTA5 99565,77
ZCTA5 99566,218
ZCTA5 99567,8610
ZCTA5 99568,118
ZCTA5 99569,63
ZCTA5 99571,55
ZCTA5 99572,531
ZCTA5 99573,788
ZCTA5 99574,2475
ZCTA5 99575,148
ZCTA5 99576,2535
ZCTA5 99577,26143
ZCTA5 99578,204
ZCTA5 99579,25
ZCTA5 99580,161
ZCTA5 99581,823
ZCTA5 99583,15
ZCTA5 99585,362
ZCTA5 99586,682
ZCTA5 99587,1726
ZCTA5 99588,1033
ZCTA5 99589,372
ZCTA5 99590,215
ZCTA5 99591,118
ZCTA5 99602,202
ZCTA5 99603,9378
ZCTA5 99604,1270
ZCTA5 99605,141
ZCTA5 99606,371
ZCTA5 99607,231
ZCTA5 99609,555
ZCTA5 99610,2075
ZCTA5 99611,15455
ZCTA5 99612,844
ZCTA5 99613,432
ZCTA5 99614,553
ZCTA5 99615,12609
ZCTA5 99620,565
ZCTA5 99621,672
ZCTA5 99622,275
ZCTA5 99624,78
ZCTA5 99625,89
ZCTA5 99626,286
ZCTA5 99627,474
ZCTA5 99628,383
ZCTA5 99630,177
ZCTA5 99631,256
ZCTA5 99632,758
ZCTA5 99633,586
ZCTA5 99634,358
ZCTA5 99636,518
ZCTA5 99637,682
ZCTA5 99638,40
ZCTA5 99639,691
ZCTA5 99640,223
ZCTA5 99641,416
ZCTA5 99643,221
ZCTA5 99644,329
ZCTA5 99645,24754
ZCTA5 99647,18
ZCTA5 99648,104
ZCTA5 99649,42
ZCTA5 99650,493
ZCTA5 99651,44
ZCTA5 99652,4029
ZCTA5 99653,203
ZCTA5 99654,50944
ZCTA5 99655,645
ZCTA5 99656,20
ZCTA5 99657,357
ZCTA5 99658,651
ZCTA5 99659,367
ZCTA5 99660,716
ZCTA5 99661,1224
ZCTA5 99662,543
ZCTA5 99663,397
ZCTA5 99664,5392
ZCTA5 99665,94
ZCTA5 99666,175
ZCTA5 99667,24
ZCTA5 99668,80
ZCTA5 99669,13775
ZCTA5 99670,68
ZCTA5 99671,572
ZCTA5 99672,3466
ZCTA5 99674,1261
ZCTA5 99676,1245
ZCTA5 99677,58
ZCTA5 99678,931
ZCTA5 99679,454
ZCTA5 99680,358
ZCTA5 99681,367
ZCTA5 99682,372
ZCTA5 99683,484
ZCTA5 99684,692
ZCTA5 99685,4110
ZCTA5 99686,3956
ZCTA5 99688,2656
ZCTA5 99689,633
ZCTA5 99690,336
ZCTA5 99691,63
ZCTA5 99692,47
ZCTA5 99693,238
ZCTA5 99694,1342
ZCTA5 99695,0
ZCTA5 99701,18651
ZCTA5 99702,2814
ZCTA5 99703,6548
ZCTA5 99704,20
ZCTA5 99705,22224
ZCTA5 99706,0
ZCTA5 99709,31289
ZCTA5 99712,12482
ZCTA5 99714,1152
ZCTA5 99720,154
ZCTA5 99721,407
ZCTA5 99722,84
ZCTA5 99723,4154
ZCTA5 99724,77
ZCTA5 99726,54
ZCTA5 99727,483
ZCTA5 99729,168
ZCTA5 99730,159
ZCTA5 99732,0
ZCTA5 99733,61
ZCTA5 99734,233
ZCTA5 99736,68
ZCTA5 99737,4796
ZCTA5 99738,138
ZCTA5 99739,363
ZCTA5 99740,540
ZCTA5 99741,526
ZCTA5 99742,747
ZCTA5 99743,937
ZCTA5 99744,383
ZCTA5 99745,80
ZCTA5 99746,273
ZCTA5 99747,393
ZCTA5 99748,187
ZCTA5 99749,347
ZCTA5 99750,377
ZCTA5 99751,95
ZCTA5 99752,3650
ZCTA5 99753,329
ZCTA5 99754,110
ZCTA5 99755,262
ZCTA5 99756,74
ZCTA5 99757,0
ZCTA5 99758,184
ZCTA5 99759,314
ZCTA5 99760,856
ZCTA5 99761,525
ZCTA5 99762,3854
ZCTA5 99763,648
ZCTA5 99764,395
ZCTA5 99765,276
ZCTA5 99766,1139
ZCTA5 99767,38
ZCTA5 99768,221
ZCTA5 99769,701
ZCTA5 99770,703
ZCTA5 99771,245
ZCTA5 99772,659
ZCTA5 99773,376
ZCTA5 99774,65
ZCTA5 99775,892
ZCTA5 99776,101
ZCTA5 99777,303
ZCTA5 99778,311
ZCTA5 99780,1717
ZCTA5 99781,138
ZCTA5 99782,764
ZCTA5 99783,118
ZCTA5 99784,159
ZCTA5 99785,326
ZCTA5 99786,260
ZCTA5 99788,50
ZCTA5 99789,564
ZCTA5 99790,62
ZCTA5 99791,325
ZCTA5 99801,29056
ZCTA5 99820,427
ZCTA5 99824,2188
ZCTA5 99825,64
ZCTA5 99826,454
ZCTA5 99827,2632
ZCTA5 99829,774
ZCTA5 99830,470
ZCTA5 99832,113
ZCTA5 99833,3278
ZCTA5 99835,8879
ZCTA5 99836,83
ZCTA5 99840,1105
ZCTA5 99841,77
ZCTA5 99901,13458
ZCTA5 99903,32
ZCTA5 99918,75
ZCTA5 99919,534
ZCTA5 99921,2100
ZCTA5 99922,431
ZCTA5 99923,116
ZCTA5 99925,689
ZCTA5 99926,1488
ZCTA5 99927,67
ZCTA5 99929,2321
ZCTA5 99761,525
ZCTA5 99762,3854
ZCTA5 99763,648
ZCTA5 99764,395
ZCTA5 99765,276
ZCTA5 99766,1139
ZCTA5 99767,38
ZCTA5 99768,221
ZCTA5 99769,701
ZCTA5 99770,703
ZCTA5 99771,245
ZCTA5 99772,659
ZCTA5 99773,376
ZCTA5 99774,65
ZCTA5 99775,892
ZCTA5 99776,101
ZCTA5 99777,303
ZCTA5 99778,311
ZCTA5 99780,1717
ZCTA5 99781,138
ZCTA5 99782,764
ZCTA5 99783,118
ZCTA5 99784,159
ZCTA5 99785,326
ZCTA5 99786,260
ZCTA5 99788,50
ZCTA5 99789,564
ZCTA5 99790,62
ZCTA5 99791,325
ZCTA5 99801,29056
ZCTA5 99820,427
ZCTA5 99824,2188
ZCTA5 99825,64
ZCTA5 99826,454
ZCTA5 99827,2632
ZCTA5 99829,774
ZCTA5 99830,470
ZCTA5 99832,113
ZCTA5 99833,3278
ZCTA5 99835,8879
ZCTA5 99836,83
ZCTA5 99840,1105
ZCTA5 99841,77
ZCTA5 99901,13458
ZCTA5 99903,32
ZCTA5 99918,75
ZCTA5 99919,534
ZCTA5 99921,2100
ZCTA5 99922,431
ZCTA5 99923,116
ZCTA5 99925,689
ZCTA5 99926,1488
ZCTA5 99927,67
ZCTA5 99929,2321
