zip_code,population
ZCTA5 99501,16976
ZCTA5 99502,24012
ZCTA5 99503,14661
ZCTA5 99504,41365
ZCTA5 99505,6766
ZCTA5 99506,7531
ZCTA5 99507,39555
ZCTA5 99508,35135
ZCTA5 99510,315
ZCTA5 99513,0
ZCTA5 99515,22530
ZCTA5 99516,21671
ZCTA5 99517,16797
ZCTA5 99518,10321
ZCTA5 99519,1005
ZCTA5 99540,324
ZCTA5 99546,114
ZCTA5 99547,66
ZCTA5 99548,58
ZCTA5 99549,84
ZCTA5 99550,230
ZCTA5 99551,590
ZCTA5 99552,407
ZCTA5 99553,896
ZCTA5 99554,733
ZCTA5 99555,231
ZCTA5 99556,2710
ZCTA5 99557,714
ZCTA5 99558,86
ZCTA5 99559,7808
ZCTA5 99561,474
ZCTA5 99563,986
ZCTA5 99564,86
ZCTA5 99565,60
ZCTA5 99566,213
ZCTA5 99567,10090
ZCTA5 99568,224
ZCTA5 99569,75
ZCTA5 99571,83
ZCTA5 99572,323
ZCTA5 99573,794
ZCTA5 99574,2721
ZCTA5 99575,104
ZCTA5 99576,2445
ZCTA5 99577,27955
ZCTA5 99578,425
ZCTA5 99579,74
ZCTA5 99580,100
ZCTA5 99581,819
ZCTA5 99583,31
ZCTA5 99585,320
ZCTA5 99586,519
ZCTA5 99587,2446
ZCTA5 99588,879
ZCTA5 99589,237
ZCTA5 99590,151
ZCTA5 99591,33
ZCTA5 99602,209
ZCTA5 99603,9894
ZCTA5 99604,1259
ZCTA5 99605,89
ZCTA5 99606,369
ZCTA5 99607,257
ZCTA5 99609,537
ZCTA5 99610,2340
ZCTA5 99611,15549
ZCTA5 99612,900
ZCTA5 99613,375
ZCTA5 99614,700
ZCTA5 99615,13096
ZCTA5 99620,636
ZCTA5 99621,763
ZCTA5 99622,325
ZCTA5 99624,52
ZCTA5 99625,131
ZCTA5 99626,334
ZCTA5 99627,401
ZCTA5 99628,673
ZCTA5 99630,177
ZCTA5 99631,464
ZCTA5 99632,781
ZCTA5 99633,600
ZCTA5 99634,365
ZCTA5 99636,574
ZCTA5 99637,650
ZCTA5 99638,34
ZCTA5 99639,956
ZCTA5 99640,220
ZCTA5 99641,459
ZCTA5 99643,268
ZCTA5 99644,278
ZCTA5 99645,26573
ZCTA5 99647,22
ZCTA5 99648,116
ZCTA5 99649,60
ZCTA5 99650,567
ZCTA5 99651,42
ZCTA5 99652,4235
ZCTA5 99653,147
ZCTA5 99654,55319
ZCTA5 99655,616
ZCTA5 99656,32
ZCTA5 99657,404
ZCTA5 99658,687
ZCTA5 99659,406
ZCTA5 99660,612
ZCTA5 99661,1386
ZCTA5 99662,454
ZCTA5 99663,486
ZCTA5 99664,5255
ZCTA5 99665,58
ZCTA5 99666,132
ZCTA5 99667,61
ZCTA5 99668,98
ZCTA5 99669,14174
ZCTA5 99670,60
ZCTA5 99671,538
ZCTA5 99672,3820
ZCTA5 99674,1241
ZCTA5 99676,1383
ZCTA5 99677,69
ZCTA5 99678,858
ZCTA5 99679,421
ZCTA5 99680,437
ZCTA5 99681,297
ZCTA5 99682,403
ZCTA5 99683,544
ZCTA5 99684,716
ZCTA5 99685,4321
ZCTA5 99686,4007
ZCTA5 99688,2645
ZCTA5 99689,587
ZCTA5 99690,281
ZCTA5 99691,75
ZCTA5 99692,215
ZCTA5 99693,252
ZCTA5 99694,1678
ZCTA5 99695,0
ZCTA5 99701,18575
ZCTA5 99702,2647
ZCTA5 99703,7764
ZCTA5 99704,20
