Record,DenID,Spring_year,Data_source,Discovery_method,Latitude,Longitude,Confirmation,Substrate,Position_method,Horizontal_error_m
528,1146,2017,USFWS-ADFG,FLIR,70.3153,-147.9995,P,L,field gps,30
529,1147,2017,USFWS-ADFG,REPORT,70.3015,-147.8866,C,L,field gps,30
