zip_code,population
ZCTA5 99761,443
ZCTA5 99762,4146
ZCTA5 99763,608
ZCTA5 99764,346
ZCTA5 99765,285
ZCTA5 99766,562
ZCTA5 99767,7
ZCTA5 99768,202
ZCTA5 99769,883
ZCTA5 99770,794
ZCTA5 99771,223
ZCTA5 99772,640
ZCTA5 99773,342
ZCTA5 99774,25
ZCTA5 99775,1346
ZCTA5 99776,120
ZCTA5 99777,277
ZCTA5 99778,205
ZCTA5 99780,1660
ZCTA5 99781,177
ZCTA5 99782,458
ZCTA5 99783,155
ZCTA5 99784,179
ZCTA5 99785,442
ZCTA5 99786,280
ZCTA5 99788,101
ZCTA5 99789,345
ZCTA5 99790,20
ZCTA5 99791,159
ZCTA5 99801,30262
ZCTA5 99820,408
ZCTA5 99824,2249
ZCTA5 99825,100
ZCTA5 99826,496
ZCTA5 99827,2626
ZCTA5 99829,821
ZCTA5 99830,628
ZCTA5 99832,87
ZCTA5 99833,3221
ZCTA5 99835,8943
ZCTA5 99836,31
ZCTA5 99840,999
ZCTA5 99841,150
ZCTA5 99901,13717
ZCTA5 99903,22
ZCTA5 99918,162
ZCTA5 99919,637
ZCTA5 99921,1950
ZCTA5 99922,277
ZCTA5 99923,13
ZCTA5 99925,826
ZCTA5 99926,1711
ZCTA5 99927,123
ZCTA5 99929,2365
