zip_code,population
ZCTA5 99761,452
ZCTA5 99762,4084
ZCTA5 99763,598
ZCTA5 99764,305
ZCTA5 99765,272
ZCTA5 99766,628
ZCTA5 99767,15
ZCTA5 99768,208
ZCTA5 99769,872
ZCTA5 99770,754
ZCTA5 99771,212
ZCTA5 99772,699
ZCTA5 99773,308
ZCTA5 99774,69
ZCTA5 99775,1179
ZCTA5 99776,154
ZCTA5 99777,248
ZCTA5 99778,227
ZCTA5 99780,1724
ZCTA5 99781,171
ZCTA5 99782,482
ZCTA5 99783,165
ZCTA5 99784,148
ZCTA5 99785,439
ZCTA5 99786,329
ZCTA5 99788,85
ZCTA5 99789,371
ZCTA5 99790,20
ZCTA5 99791,219
ZCTA5 99801,29855
ZCTA5 99820,425
ZCTA5 99824,2328
ZCTA5 99825,109
ZCTA5 99826,529
ZCTA5 99827,2623
ZCTA5 99829,818
ZCTA5 99830,592
ZCTA5 99832,62
ZCTA5 99833,3212
ZCTA5 99835,8957
ZCTA5 99836,30
ZCTA5 99840,996
ZCTA5 99841,117
ZCTA5 99901,13694
ZCTA5 99903,29
ZCTA5 99918,141
ZCTA5 99919,603
ZCTA5 99921,2123
ZCTA5 99922,356
ZCTA5 99923,12
ZCTA5 99925,728
ZCTA5 99926,1622
ZCTA5 99927,131
ZCTA5 99929,2354
